SIRUP HIBISKUS 0.7 x 12 - EKOFARM,EKOFARM 20,SIRUP HIBISKUS 0.7 x 12 - EKOFARM,180.00,EKOFARM 20,,2.00
SIRUP OD KUPINE 0.7l 12/1#EKOFARM,EKOFARM 24,SIRUP OD KUPINE 0.7l 12/1#EKOFARM,180.00,EKOFARM 24,,2.00
COKOLADA U PRAHU ER 1/1,ERIKSON 003,COKOLADA U PRAHU ER 1/1,270.00,ERIKSON 003,,2.00
CHERRY DESERT        2 KG,EUR-SW 006,CHERRY DESERT        2 KG,640.00,EUR-SW 006,,jan.25
DEDA MRAZ 20g 25/1,EUR-SW 050,DEDA MRAZ 20g 25/1,38.00,EUR-SW 050,,17.00
BOMBONE GUMENE MENTOL 2KG,EUR-SW 058,BOMBONE GUMENE MENTOL 2KG,490.00,EUR-SW 058,,1.00
EVRO MINI BANANA 3.5/1,EVROPA 02,EVRO MINI BANANA 3.5/1,500.00,EVROPA 02,,mar.17
BOMBONJERA BUKET 200GR,EVROPA 07,BOMBONJERA BUKET 200GR,270.00,EVROPA 07,,1.00
MIKS BOMBONA EVROPA 3/1,EVROPA 15,MIKS BOMBONA EVROPA 3/1,340.00,EVROPA 15,,feb.14
BELA MENTA RF 3/1 EVROPA,EVROPA 18,BELA MENTA RF 3/1 EVROPA,310.00,EVROPA 18,,feb.20
RUM PLOCICA RF 3.5,EVROPA 24,RUM PLOCICA RF 3.5,500.00,EVROPA 24,,mar.18
KREM BANANA RF 3.5kg,EVROPA 28,KREM BANANA RF 3.5kg,470.00,EVROPA 28,,jan.24
SMOKVA SUVA 2kg,EXOTICA 074,SMOKVA SUVA 2kg,380.00,EXOTICA 074,,feb.26
KAJSIJA SUVA 200g 50/1#,EXOTICA 080,KAJSIJA SUVA 200g 50/1#,75.00,EXOTICA 080,,0.00
SECER 1/1 KRISTAL 10/1#,FEDELA 001,SECER 1/1 KRISTAL 10/1#,61.00,FEDELA 001,,2.00
BRASNO T-400 MEKO 1/1 10/# FIDELINKA,FIDELINKA 004,BRASNO T-400 MEKO 1/1 10/# FIDELINKA,45.00,FIDELINKA 004,,5.00
BRASNO T-500 1/1 10/#,FIDELINKA 005,BRASNO T-500 1/1 10/#,42.00,FIDELINKA 005,,7.00
